name,avg_rating
Grit City Breakfast,4.800000190734863
O'Sullivan's Irish Pub,4.800000190734863
O'falafel ETC,4.800000190734863
Cazadores Mexican Restaurant,4.800000190734863
Raouche Cafe,4.800000190734863
McDonald's® (1294 STONEY POINT RD),4.800000190734863
K Pop Burger - Keller,4.800000190734863
Steer in,4.800000190734863
Shiro's Sushi,4.800000190734863
Waterfalls Cafe,4.800000190734863
Greenlake Grill,4.800000190734863
Oak and Apple,4.800000190734863
Wasabi Sushi (SE Madison),4.800000190734863
Green's Grill &amp; Sushi Bar,4.800000190734863
Green Vegetarian Cuisine (Alamo Quarry),4.800000190734863
JustVeggiez,4.800000190734863
7-Eleven (415 Wright Av),4.800000190734863
Centraal Grand Cafe &amp; Tappery,4.800000190734863
Greek Souvlaki (West Valley),4.800000190734863
Shisha Cafe &amp; Kababchi Grill,4.800000190734863
Dairy Queen Grill &amp; Chill (920 Meridian E),4.800000190734863
Farmacia Caridad  💊 Victory Shopping Center,4.800000190734863
206 Burger (1st Hill),4.800000190734863
Red Goose Saloon,4.800000190734863
Mon Ami Gabi (Reston),4.800000190734863
Red Lobster  (1725 Rainbow Drive),4.800000190734863
Logan's Roadhouse 346 (7731 Donegan Drive),4.800000190734863
Logan Tavern,4.800000190734863
Grebe's Bakery,4.800000190734863
Walgreens (8333 W Greenfield Ave),4.800000190734863
Walgreens (810 W 21st St),4.800000190734863
Great Steak (ss 400 Spotsylvania Mall Dr),4.800000190734863
Arby's (2645 Monroe Rd),4.800000190734863
Saz's State House (Milwaukee),4.800000190734863
Burger King (1705 N. W. Gilman Blvd.),4.800000190734863
Five Guys AL-0230 1395 Enterprise Way,4.800000190734863
El Tapatio Mexican Restaurant Snohomish,4.800000190734863
7-Eleven (2311 BEDFORD AVE),4.800000190734863
Granville Moore's,4.800000190734863
Walgreens (5506 N Road 68),4.800000190734863
Sandra's on the Park,4.800000190734863
Cafe On The Ave,4.800000190734863
Farmacia Caridad  💊 Santa Rosa Mall,4.800000190734863
Bosses Brickoven Pizza (Lake Worth Blvd),4.800000190734863
