category,num_restaurants
Asian-Asian Fusion,8
Caribbean-Hawaiian,8
Asian-Desserts-Juice and Smoothies-Bubble Tea,8
Japanese-Asian-Sushi-Alcohol,8
Açaí-Juice and Smoothies-Drinks-Breakfast and Brunch-Healthy-Cafe-Vegetarian Friendly-Vegan Friendly,8
Burgers-American-Wings,8
Vietnamese-Noodles-Asian,8
Burgers-American-Vegetarian Friendly,8
Wings-American-Fast Food-Family Meals,8
American-burger,8
Pizza-American-Italian-Family Meals,8
Burgers-American-Sandwiches-Group Friendly,8
Korean-Asian-Asian Fusion,8
American-Comfort Food-Breakfast and Brunch,8
Grocery-Convenience-Snacks-Everyday Essentials,8
Mexican-Vegetarian Friendly,8
Healthy-Mexican-salad-Family Meals,8
Alcohol-Wine,8
Ramen-Japanese-Noodles,8
Salads-American-Vegetarian-Healthy,8
Breakfast and Brunch-American-Sandwich,8
Vietnamese-Noodles,7
American-Healthy,7
Mediterranean-Family Meals,7
Juice and Smoothies-Cafe-Breakfast and Brunch-Vegan-Vegetarian-Healthy-Açaí-Ice Cream + Frozen Yogurt,7
Latin American-Mexican,7
Breakfast and Brunch-Family Meals-Family Friendly,7
BBQ-American-Sandwiches,7
BBQ-American-Sandwich,7
American-Wings-Salads-Healthy-Family Meals,7
Sushi-Japanese-Family Friendly,7
Tex Mex-Mexican-Family Meals,7
Asian-Asian Fusion-Chinese,7
Chicken-Sandwich-Family Meals,7
Chicken-Sandwiches-American,7
Sushi-Asian-Japanese-Allergy Friendly,7
Thai-Asian-Asian Fusion,7
Chinese-Asian-Asian Fusion-Group Friendly,7
Steak-American-Seafood,7
American-Breakfast &amp; Brunch-Comfort Food,7
American-Steak-BBQ,7
Snacks-Everyday Essentials-Convenience-Grocery-Home &amp; Personal Care,7
Bubble Tea-Coffee and Tea-Juice and Smoothies,7
Seafood-Fish &amp; Seafood,7
Seafood-Family Meals,7
Seafood-American-Southern-Family Meals,7
Seafood-American-Comfort Food,7
American-Seafood-Family Meals-Family Friendly,7
Sandwich-Salads-Traditional American-Fast Food-Healthy,7
Sandwich-Salads-Family Meals-Healthy,7
